default_code;Nom;Catégorie;Fournisseur;Prix fournisseur;Qté Fournisseur;peut être acheté;peut être vendu;Coût;poids;volume;Format;Type d'article;Référence externe;tag
PFATF0201103;PLUROL STEARIQUE MB;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;16,56;;VRAI;;;;;;Article stockable;;Autres

PFATF0201104;SURFHOPE;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;86,37;;VRAI;;;;;;Article stockable;;Autres

PFBRF0201101;DEFINICIRE;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;;;VRAI;;;;;;Article stockable;;Beurres

PFACF0201101;CYTOBIOL;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;16;;VRAI;;;;;;Article stockable;;Actifs

PFACF0201102;GATULINE EXPRESSION;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;134,16;;VRAI;;;;;;Article stockable;;Actifs

PFTTF0201101;FIXATE SUPERHOLD;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;;;VRAI;;;;;;Article stockable;;Texturants

PFTTF0201102;CARBOPOL 980;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;44,59;;VRAI;;;;;;Article stockable;;Texturants

PFTTF0201103;CARBOPOL CLEAR;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;;;VRAI;;;;;;Article stockable;;Texturants

;;;;;;;;;;;;;;

PFHEF0203101;HE GERANIUM BOURBON BIO;All / Fournisseurs / Matières premières / Golgemma;GOLGEMMA;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0203102;HE SANTAL BOIS DU PACIFIC BIO;All / Fournisseurs / Matières premières / Golgemma;GOLGEMMA;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0203103;HE VERVEINE ODORANTE BIO;All / Fournisseurs / Matières premières / Golgemma;GOLGEMMA;136;;VRAI;;;;;;Article stockable;;Huiles essentielles

;;;;;;;;;;;;;;

PFATF0201001;ACIDE CITRIQUE;All / Fournisseurs / Matières premières / Gonmisol;GONMISOL;34,5;;VRAI;;;;;;Article stockable;;Autres

PFATF0201002;BENZOATE DE SODIUM;All / Fournisseurs / Matières premières / Gonmisol;GONMISOL;6,5;;VRAI;;;;;;Article stockable;;Autres

PFATF0201003;EDTA;All / Fournisseurs / Matières premières / Gonmisol;GONMISOL;14,55;;VRAI;;;;;;Article stockable;;Autres

PFATF0201004;HARPAGOPHYTUM EXTRACT;All / Fournisseurs / Matières premières / Gonmisol;GONMISOL;59,00;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFHVF0201201;HV DE PEPINS DE FRAMBOISIER BIO;All / Fournisseurs / Matières premières / Herbarum Laboratoire;HERBARUM LABORATOIRE;;;VRAI;;;;;;Article stockable;;Huile végétales

PFHVF0201202;HV FLEUR D'ORANGER;All / Fournisseurs / Matières premières / Herbarum Laboratoire;HERBARUM LABORATOIRE;;;VRAI;;;;;;Article stockable;;Huile végétales

;;;;;;;;;;;;;;

PFHVF0203701;HV HUILE OLIVE;All / Fournisseurs / Matières premières / IES Labo;IES LABO;8,35;;VRAI;;;;;;Article stockable;;Huiles végétales

;;;;;;;;;;;;;;

PFATF0201301;LEXGARD GMCY MB;All / Fournisseurs / Matières premières / Inoex;INOLEX;17,26;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFATF0203801;ACB BIOCHELATE GOLD;All / Fournisseurs / Matières premières / Kreglinger;KREGLINGER;15,5;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFBRF0203901;CUPUACU ;All / Fournisseurs / Matières premières / La vallee chimie;LA VALLEEE CHIMIE;36;;VRAI;;;;;;Article stockable;;Beurres

;;;;;;;;;;;;;;

PFHEF0201401;HE BENJOIN;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;19,2;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201402;HE CAMOMILLE DU MAROC;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;299,00;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201403;HE CEDRE DE VIRGINIE;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201404;HE CEDRE DEVERGINIE (LCR);All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201405;HE ENCENS OLIBAN;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201406;HE GERANIUM D'EGYPTE BIO;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;467;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201407;HE GERANIUM ROSAT;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201408;HE JASMIN;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201409;HE LAVANDE ASPIC;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201410;HE LAVANDIN;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;46;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201411;HE LEMONGRASS FLESAROSUS;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201412;HE LEPSTOPRENE CITRONNE;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201413;HE MAMUKA;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201414;HE MYRTHE ROUGE;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;1330;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201415;HE NARD ;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201416;HE OLIBAN;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201417;HE ORANGE DOUCE BIO;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;19,90;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201418;HE ORIGAN D'ESPAGNE;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;71,90;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201419;HE PETIT GRAIN BIGARADE ;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;49,5;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201420;HE SAUGE OFFICINAL;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;89,00;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201421;HE VERVEINE YUNMAN;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201422;HE VETIVER;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0201423;HE YLANG YLANG;All / Fournisseurs / Matières premières / Laboratoire Combe d'Ase;LABORATOIRE COMBE D'ASE;243,4;;VRAI;;;;;;Article stockable;;Huiles essentielles

;;;;;;;;;;;;;;

PFATF0201501;ISOCIDE BAS;All / Fournisseurs / Matières premières / Lehvoss;LEHVOSS;16,00;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFATF0204001;ICE WHITE JOJOBA SPHERES ;All / Fournisseurs / Matières premières / Lipo Chemical;LIPO CHEMICAL;;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFATF0204101;PRO LIPO NEO;All / Fournisseurs / Matières premières / Lucas Meyer;LUCAS MEYER;;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFACF0201701;ACB FRUIT EXTRACT;All / Fournisseurs / Matières premières / Masso;MASSO;22,11;;VRAI;;;;;;Article stockable;;Actifs

PFACF0201702;ALGOSIL;All / Fournisseurs / Matières premières / Masso;MASSO;22;;VRAI;;;;;;Article stockable;;Actifs

;;;;;;;;;;;;;;

PFPFF0201601;AQUAFRESH;All / Fournisseurs / Matières premières / MLW;MLW;25,4;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201602;BASE CHEVREFEUILLE;All / Fournisseurs / Matières premières / MLW;MLW;40;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201603;BOISE MASCULIN;All / Fournisseurs / Matières premières / MLW;MLW;75;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201604;BOIS DE OUD;All / Fournisseurs / Matières premières / MLW;MLW;190;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201605;CANNE A SUCRE;All / Fournisseurs / Matières premières / MLW;MLW;45,00;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201606;COLOGNE SANS SOLVANT;All / Fournisseurs / Matières premières / MLW;MLW;230;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201607;ELEGANCE;All / Fournisseurs / Matières premières / MLW;MLW;45;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201608;EMERAUDE ;All / Fournisseurs / Matières premières / MLW;MLW;75;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201609;EPICES MASCULINES;All / Fournisseurs / Matières premières / MLW;MLW;40;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201610;FLEUR COTON;All / Fournisseurs / Matières premières / MLW;MLW;255;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201611;FLEUR DE THE;All / Fournisseurs / Matières premières / MLW;MLW;;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201612;FRAICHEUR VERTE;All / Fournisseurs / Matières premières / MLW;MLW;37;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201613;HERBE CITRONNE;All / Fournisseurs / Matières premières / MLW;MLW;40;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201614;KUMKUAT;All / Fournisseurs / Matières premières / MLW;MLW;107,00;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201615;MONOI;All / Fournisseurs / Matières premières / MLW;MLW;38;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201616;MUSC HOMME;All / Fournisseurs / Matières premières / MLW;MLW;39,00;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201617;MUSC TABAC;All / Fournisseurs / Matières premières / MLW;MLW;45;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201618;SAPIN ;All / Fournisseurs / Matières premières / MLW;MLW;65;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201619;TRIETHY CITRATE NATUREL;All / Fournisseurs / Matières premières / MLW;MLW;41;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201620;THE VERT;All / Fournisseurs / Matières premières / MLW;MLW;;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201621;VANILLE MANGUE;All / Fournisseurs / Matières premières / MLW;MLW;50,00;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201622;VERT MANDARINE;All / Fournisseurs / Matières premières / MLW;MLW;25,8;;VRAI;;;;;;Article stockable;;Parfums

;;;;;;;;;;;;;;

PFATF0201901;ETHANOL 96%;All / Fournisseurs / Matières premières / Nadal Alcool;NADAL ALCOOL;1,89;;VRAI;;;;;;Article stockable;;Autres

PFATF0201902;ETHANOL 96% BIO;All / Fournisseurs / Matières premières / Nadal Alcool;NADAL ALCOOL;;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFPFF0201801;COS 30234;All / Fournisseurs / Matières premières / Néo Parfums;NEO PARFUM;37,00;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201802;COS 30815;All / Fournisseurs / Matières premières / Néo Parfums;NEO PARFUM;24,50;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0201803;COS 30885;All / Fournisseurs / Matières premières / Néo Parfums;NEO PARFUM;;;VRAI;;;;;;Article stockable;;Parfums

;;;;;;;;;;;;;;

PFHVF0204201;HV CHIA;All / Fournisseurs / Matières premières / Panam;PANAM;;;VRAI;;;;;;Article stockable;;Huiles végétales

;;;;;;;;;;;;;;

PFHVF0204301;HV PRUNE BIO;All / Fournisseurs / Matières premières / Perles Gascogne;PERLES GASCOGNE;;;VRAI;;;;;;Article stockable;;Huiles végétales

;;;;;;;;;;;;;;

PFATF0202101;ACIDE STEARIQUE;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;3,77;;VRAI;;;;;;Article stockable;;Autres

PFATF0202102;TROLAMINE;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;3,9;;VRAI;;;;;;Article stockable;;Autres

PFATF0202103;HUILE DE PARAPHINE MINERALE;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;;;VRAI;;;;;;Article stockable;;Autres

PFATF0202104;MYRISTATE ISOPROPYL;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;8,88;;VRAI;;;;;;Article stockable;;Autres

PFATF0202105;PALMITATE ISOPROPYLE ;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;9,25;;VRAI;;;;;;Article stockable;;Autres

PFATF0202106;POLY ETHYLENE GLYCOL ;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;5,67;;VRAI;;;;;;Article stockable;;Autres

PFACF0202101;FRIGYDIL;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;48,19;;VRAI;;;;;;Article stockable;;Actifs

PFACF0202102;MENTHOL CRISTAL;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;62,4;;VRAI;;;;;;Article stockable;;Actifs

PFEMF0202101;ISONONANOATE DE CETEARYLE;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;7,6;;VRAI;;;;;;Article stockable;;Emollient

PFEMF0202102;MONOPROPYLENE;All / Fournisseurs / Matières premières / Prod'hyg;PROD'HYG;5,84;;VRAI;;;;;;Article stockable;;Emollient

;;;;;;;;;;;;;;

PFACF0202001;DETOSKIN;All / Fournisseurs / Matières premières / Provital;PROVITAL;;;VRAI;;;;;;Article stockable;;Actifs

PFACF0202002;NELUPURE;All / Fournisseurs / Matières premières / Provital;PROVITAL;;;VRAI;;;;;;Article stockable;;Actifs

PFACF0202003;REGALIZ;All / Fournisseurs / Matières premières / Provital;PROVITAL;24,5;;VRAI;;;;;;Article stockable;;Actifs

PFHVF0202001;HV ORANGE BIO;All / Fournisseurs / Matières premières / Provital;PROVITAL;;;VRAI;;;;;;Article stockable;;Huiles végétales

;;;;;;;;;;;;;;

PFACF0204401;YAM RHIZOME;All / Fournisseurs / Matières premières / Quimdis;QUIMDIS;;;VRAI;;;;;;Article stockable;;Actifs

;;;;;;;;;;;;;;

PFEMF0204501;SABODERM CV;All / Fournisseurs / Matières premières / Sabo;SABO;9,9;;VRAI;;;;;;Article stockable;;Emollient

PFEMF0204502;SABODERM CVC;All / Fournisseurs / Matières premières / Sabo;SABO;7,36;;VRAI;;;;;;Article stockable;;Emollient

PFEMF0204503;SABODERM TCC;All / Fournisseurs / Matières premières / Sabo;SABO;7,36;;VRAI;;;;;;Article stockable;;Emollient

;;;;;;;;;;;;;;

PFACF0204601;BLU V TITE;All / Fournisseurs / Matières premières / SACE;SACE;;;VRAI;;;;;;Article stockable;;Actifs

;;;;;;;;;;;;;;

PFACF0202401;ALOE VERA;All / Fournisseurs / Matières premières / SACI-CFPA;SACI-CFPA;258,86;;VRAI;;;;;;Article stockable;;Actifs

PFACF0202402;HYALURONATE DE SODIUM;All / Fournisseurs / Matières premières / SACI-CFPA;SACI-CFPA;542,39;;VRAI;;;;;;Article stockable;;Actifs

PFACF0202403;POUDRE D'ALOE VERA BIO;All / Fournisseurs / Matières premières / SACI-CFPA;SACI-CFPA;258,86;;VRAI;;;;;;Article stockable;;Actifs

;;;;;;;;;;;;;;

PFACF0202601;HOTFLUX;All / Fournisseurs / Matières premières / SACIF ALCAL;SAFIC ALCAN;459;;VRAI;;;;;;Article stockable;;Actifs

;;;;;;;;;;;;;;

PFATF0204701;JAGUAR HP105;All / Fournisseurs / Matières premières / SASI;SASI;20,06;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFPGF0204801;UNIPURE BROWN LC 881 (2016);All / Fournisseurs / Matières premières / Sensient;SENSIENT;;;VRAI;;;;;;Article stockable;;Pigments

;;;;;;;;;;;;;;

PFATF0203301;AMINAT G;All / Fournisseurs / Matières premières / Seppic;SEPPIC;90;;VRAI;;;;;;Article stockable;;Autres

PFATF0203302;MONTANOV 14;All / Fournisseurs / Matières premières / Seppic;SEPPIC;19,2;;VRAI;;;;;;Article stockable;;Autres

PFATF0203303;MONTANOV 202;All / Fournisseurs / Matières premières / Seppic;SEPPIC;22;;VRAI;;;;;;Article stockable;;Autres

PFATF0203304;MONTANOV 82;All / Fournisseurs / Matières premières / Seppic;SEPPIC;22;;VRAI;;;;;;Article stockable;;Autres

PFATF0203305;MONTANOX 20;All / Fournisseurs / Matières premières / Seppic;SEPPIC;;;VRAI;;;;;;Article stockable;;Autres

PFATF0203306;SIMULGREEN 18-2;All / Fournisseurs / Matières premières / Seppic;SEPPIC;26,3;;VRAI;;;;;;Article stockable;;Autres

PFATF0203307;ORAMIX CG 110;All / Fournisseurs / Matières premières / Seppic;SEPPIC;5,5;;VRAI;;;;;;Article stockable;;Autres

PFATF0203308;ORANIX CG 110;All / Fournisseurs / Matières premières / Seppic;SEPPIC;5,5;;VRAI;;;;;;Article stockable;;Autres

PFHVF0203301;OLEINE DE KARITE;All / Fournisseurs / Matières premières / Seppic;SEPPIC;25,80;;VRAI;;;;;;Article stockable;;Huiles végétales

PFACF0203301;VOLUFORM;All / Fournisseurs / Matières premières / Seppic;SEPPIC;9,1;;VRAI;;;;;;Article stockable;;Actifs

PFEMF0203301;AQUAXYL;All / Fournisseurs / Matières premières / Seppic;SEPPIC;32,00;;VRAI;;;;;;Article stockable;;Emollient

PFTTF0203301;SOLAGUM AX;All / Fournisseurs / Matières premières / Seppic;SEPPIC;17;;VRAI;;;;;;Article stockable;;Texturants

PFTTF0203302;SOLAGUM TARA;All / Fournisseurs / Matières premières / Seppic;SEPPIC;25,5;;VRAI;;;;;;Article stockable;;Texturants

;;;;;;;;;;;;;;

PFBRF0202501;BEURRE DE KARITE BIO ;All / Fournisseurs / Matières premières / Sophim;SOPHIM;7,5;;VRAI;;;;;;Article stockable;;Beurre

PFATF0202501;PHYLOSQUALAN;All / Fournisseurs / Matières premières / Sophim;SOPHIM;;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFTTF0202901;VISCOGUM HV 3000 A;All / Fournisseurs / Matières premières / Univar solution;UNIVAR SOLUTION;;;VRAI;;;;;;Article stockable;;Texturants

;;;;;;;;;;;;;;

PFTTF0202801;GLUTAMATE TM;All / Fournisseurs / Matières premières / Unipex;UNIPEX;21,65;;VRAI;;;;;;Article stockable;;Texturants

PFTTF0202802;XIAMETER (XM PMX-1501 FLUID 20K);All / Fournisseurs / Matières premières / Unipex;UNIPEX;71,96;;VRAI;;;;;;Article stockable;;Texturants

PFACF0202801;HYDROXYPROLISILANE;All / Fournisseurs / Matières premières / Unipex;UNIPEX;63,70;;VRAI;;;;;;Article stockable;;Actifs

PFACC010601;Lait de jument;All / Clients France / B to B / Les Juments du Ventoux / Matières premières;Les Juments du Ventoux;;;;;;;;;Article stockable;;Actifs

PFACC011401;Lait de chèvre;All / Clients France / B to B / Exquises caprines / Matières premières;Exquises caprines;;;;;;;;;Article stockable;;Actifs

PFACC011501;Lait d'annesse;All / Clients France / B to B / Asinerie d'Oc / Matières premières;Asinerie d'Oc;;;;;;;;;Article stockable;;Actifs

PFACC010901;Eau Thermale;All / Clients France / B to B / Thermanence / Matières premières;Thermanence;;;;;;;;;Article stockable;;Actifs

PFACC010902;Plancton Thermale;All / Clients France / B to B / Thermanence / Matières premières;Thermanence;;;;;;;;;Article stockable;;Actifs

PFBRC0101601;Beurre de karité;All / Clients France / B to B / Phytobiolab / Matières premières;Phytobiolab;;;;;;;;;Article stockable;;Beurre

PFTTC0101601;Cire d'abeille;All / Clients France / B to B / Phytobiolab / Matières premières;Phytobiolab;;;;;;;;;Article stockable;;Texturant

PFATC0101601;Plurol;All / Clients France / B to B / Phytobiolab / Matières premières;Phytobiolab;;;;;;;;;Article stockable;;Autres

PFHVC0101601;Huile C;All / Clients France / B to B / Phytobiolab / Matières premières;Phytobiolab;;;;;;;;;Article stockable;;Huile végétales

PFPFC010501;Extrait de vanille;All / Clients France / B to B / HAM Distribution / Matières premières;HAM Distribution;;;;;;;;;Article stockable;;Parfums

PFBRC010501;Beurre karité BIO;All / Clients France / B to B / HAM Distribution / Matières premières;HAM Distribution;;;;;;;;;Article stockable;;Beurre

PFHVC011801;Huile de Pastel;All / Clients France / B to B / Mathera / Matières premières;Mathera;;;;;;;;;Article stockable;;Huile végétales

PFHVC011802;Huile de Cade;All / Clients France / B to B / Mathera / Matières premières;Mathera;;;;;;;;;Article stockable;;Huiles végétales

PFACC011801;Miel;All / Clients France / B to B / Mathera / Matières premières;Mathera;;;;;;;;;Article stockable;;Actifs

PFHDC011801;Hydrolat de romarin;All / Clients France / B to B / Mathera / Matières premières;Mathera;;;;;;;;;Article stockable;;Hydrolats

PFHDC011802;Hydrolat d'hélichryse;All / Clients France / B to B / Mathera / Matières premières;Mathera;;;;;;;;;Article stockable;;Hydrolats

PFACC010201;Phycocyanine;All / Clients France / B to B / Jade Recherche / Matières premières;Jade Recherche;;;;;;;;;Article stockable;;Actifs

PFACC010202;Agaricus;All / Clients France / B to B / Jade Recherche / Matières premières;Jade Recherche;;;;;;;;;Article stockable;;Actifs

EMBCCSC010501;Bouchons capsule DOGE translucide;All / Clients France / B to B / HAM Distribution / Emballages / Bouchon / Capsule service;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBCCPC010501;Capot  cristal carré;All / Clients France / B to B / HAM Distribution / Emballages / Capots;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMPPATC010501;Pompe huile dépoli carré;All / Clients France / B to B / HAM Distribution / Emballages / Pompes / Huile;HAM Distribution;;;;;;;;;Article stockable;;

EMPPATC010502;Pompe Dispenser Goccia 24/410;All / Clients France / B to B / HAM Distribution / Emballages / Pompes / Crème;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMFCATC010501;Flacon Kless blanc 200ml;All / Clients France / B to B / HAM Distribution / Emballages / Flacons / Gamme KLESS;HAM Distribution;;;;;;;;;Article stockable;;

EMFCATC010502;Flacon Huile de pépins de figue 30ml;All / Clients France / B to B / HAM Distribution / Emballages / Flacons / Sérigraphié;HAM Distribution;;;;;;;;;Article stockable;;

EMFCATC010504;Flacon blanc Daniela 500ml;All / Clients France / B to B / HAM Distribution / Emballages / Flacons / Gamme Daniela;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMPTPPC010501;Pot neutre D95 100ml;All / Clients France / B to B / HAM Distribution / Emballages / Pots / PP;HAM Distribution;;;;;;;;;Article stockable;;

EMPTPPC010502;Pot neutre D95 250ml;All / Clients France / B to B / HAM Distribution / Emballages / Pots / PP;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMPTVRC010501;Pots verre dépoli D44 Beurre de karité 30ml;All / Clients France / B to B / HAM Distribution / Emballages / Pots / Verre;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMCVPPC010501;Couvercle pot PP Neutre CARVEN D95;All / Clients France / B to B / HAM Distribution / Emballages / Couvercles / PP;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMCVTDC010501;Couvercle lisse GCMI 48.400 BLANC ;All / Clients France / B to B / HAM Distribution / Emballages / Couvercles / Thermodur;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMTBMTC010501;Tube baume 3 en 1 200ml;All / Clients France / B to B / HAM Distribution / Emballages / Tubes / Mat;HAM Distribution;;;;;;;;;Article stockable;;

EMTBMTC010502;Tube gommage corps 200ml;All / Clients France / B to B / HAM Distribution / Emballages / Tubes / Mat;HAM Distribution;;;;;;;;;Article stockable;;

EMTBMTC010503;Tube baume vergétures 200ml;All / Clients France / B to B / HAM Distribution / Emballages / Tubes / Mat;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMETC010501;Etiquette R°V° contour des yeux 35x40mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010502;Etiquette R°V° crème anti âge 40x100mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010503;Etiquette R°V° crème concentré vitaminé 40x100mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010504;Etiquette R°V° eau micellaire 50x140mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010505;Etiquette R°V° fluide hydratant 40x100mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010506;Etiquette R°V° soin global homme 50x70mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010507;Etiquette R°V°gommage visage 40x70mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010508;Etiquette R°V° lait démaquillant 50x140mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010509;Etiquette R°V° lait velours corps 80x130mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010510;Etiquette R°V° tonique florale 50x140mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

